店名,都市,住所,特徴（30文字以内）
VINTAGE QOO TOKYO,東京,東京都渋谷区神宮前5-2-6,高級ブランド古着が充実
DEPT TOKYO,東京,東京都目黒区青葉台1-6-54,海外古着と家具が人気
BERBERJIN,東京,東京都渋谷区神宮前3-26-11,ヴィンテージデニムの名店
Chicago 原宿店,東京,東京都渋谷区神宮前6-31-21,着物と古着が豊富
AURA JAPON TOKYO,東京,東京都渋谷区神宮前3-28-5,欧州ブランド古着が人気
70B ANTIQUES 京都店,京都,京都府京都市中京区桝屋町53-1,英国アンティーク家具専門
mumokuteki antique&,京都,京都府京都市中京区式部町261,和洋レトロ雑貨が豊富
Antiques Truffle 京都店,京都,京都府京都市中京区堺町通錦小路上ル,欧州アンティーク食器が人気
70B ANTIQUES 大阪南堀江店,大阪,大阪府大阪市西区南堀江2-9-14,大型ヴィンテージ家具店
BEST VINTAGE 大阪,大阪,大阪府大阪市北区大深町4-20,高級ヴィンテージ時計専門
AURA 本店 梅田,大阪,大阪府大阪市北区中崎西2-4-20,海外ブランド古着が豊富
Pigsty アメ村店,大阪,大阪府大阪市中央区西心斎橋2-8-17,アメリカ古着が人気
CARA 福岡店,福岡,福岡県福岡市中央区天神2-11-1,一点物ブランド品が豊富
HUNT VINTAGE 福岡,福岡,福岡県福岡市中央区大名1-3-5,欧米ヴィンテージ古着専門
BEST VINTAGE 札幌,札幌,北海道札幌市中央区北3条西3-1,高級中古時計を多数販売
